"Record.ID","Locus_at_Peak","P_value_of_MAX","Description"
"1434769_at_B","rs13480526",0.039,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); distal 3' UTR"
"1458719_at","rs13482937",0.001,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); putative far 3' UTR of Btbd9, and antisense in intron of G1p1r (test Mendelian 17.29, like Glo1, possible segmental duplication in some strains)"
"1458719_at","rs13482937",0.002,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); putative far 3' UTR of Btbd9, and antisense in intron of G1p1r (test Mendelian 17.29, like Glo1, possible segmental duplication in some strains)"
"1428989_at","rs13482937",0.028,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"ILMN_2643933","gnf17.005.541",0.007,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); exon 8"
"1434769_at_B","D1Mit64",0.048,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); distal 3' UTR"
"1458719_at_B","D17Mit175",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); putative far 3' UTR of Btbd9, and antisense in intron of G1p1r (test Mendelian 17.29, like Glo1, possible segmental duplication in some strains)"
"1458719_at_B","D17Mit175",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); putative far 3' UTR of Btbd9, and antisense in intron of G1p1r (test Mendelian 17.29, like Glo1, possible segmental duplication in some strains)"
"1458719_at_B","D17Mit175",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); putative far 3' UTR of Btbd9, and antisense in intron of G1p1r (test Mendelian 17.29, like Glo1, possible segmental duplication in some strains)"
"1444827_at_B","DXMit143",0.043,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"1458043_at_B","D6Mit86",0.036,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"1459011_at_B","D2Mit12",0.031,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); intron 6"
"1459011_at_B","D2Mit45",0.023,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); intron 6"
"1434769_at_B","D12Mit182",0.017,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); distal 3' UTR"
"1431230_a_at_B","D4Mit149",0.042,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); last three exons"
"1440548_at_B","D2Mit45",0.026,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); second to last intron"
"1458719_at","D17Mit213",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); putative far 3' UTR of Btbd9, and antisense in intron of G1p1r (test Mendelian 17.29, like Glo1, possible segmental duplication in some strains)"
"1458719_at","D17Mit213",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); putative far 3' UTR of Btbd9, and antisense in intron of G1p1r (test Mendelian 17.29, like Glo1, possible segmental duplication in some strains)"
"1458719_at","D17Mit213",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); putative far 3' UTR of Btbd9, and antisense in intron of G1p1r (test Mendelian 17.29, like Glo1, possible segmental duplication in some strains)"
"1444827_at","D7Mit301",0.02,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"1458043_at","D2Mit223",0.027,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"1444827_at","D17Mit267",0.038,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
